Taxa,Acc
hpev_6/MF435195/HongKong/2015,MF435195
hpev_6/AB252582/2000,AB252582
hpev_6/KC887323/Taiwan/2008,KC887323
hpev_1/FJ373093/Netherlands/2004,FJ373093
hpev_1/FJ373083/Netherlands/2004,FJ373083
hpev_1/KU885008/UnitedKingdom/2015,KU885008
hpev_1/FJ373131/Netherlands/2004,FJ373131
hpev_1/FJ373114/Netherlands/2004,FJ373114
hpev_1/FJ373092/Netherlands/2004,FJ373092
hpev_1/HQ384366/SouthKorea/2009,HQ384366
hpev_1/GQ183019/Netherlands/2002,GQ183019
hpev_1/AB443817/Netherlands/2003,AB443817
hpev_1/LC062497/Japan/Niigata/2013,LC062497
hpev_1/MF435254/HongKong/2014,MF435254
hpev_1/MF435231/HongKong/2015,MF435231
hpev_1/FJ373065/Netherlands/2004,FJ373065
hpev_1/FJ840477/China/2008,FJ840477
hpev_1/KJ743649/India/2007,KJ743649
hpev_6/FJ373177/Netherlands/2004,FJ373177
hpev_6/KC893360/Netherlands/2009,KC893360
hpev_6/FJ888592/China/2009,FJ888592
hpev_6/LC062401/Japan/Niigata/2001,LC062401
hpev_6/LC062397/Japan/Niigata/2001,LC062397
hpev_18/KY931660/Ghana/2007,KY931660
hpev_18/KY931658/Ghana/2007,KY931658
hpev_18/KY931659/Ghana/2007,KY931659
hpev_2/HM996978/Germany/2008,HM996978
hpev_15/KY931651/Ghana/2007,KY931651
hpev_15/KY931650/Ghana/2007,KY931650
